Query_ID,BM25,Vetorial,Diferenca_BM25_menos_Vetorial,Diferenca_Absoluta
34,0.2705035650623885,0.3487441987441987,-0.07824063368181022,0.07824063368181022
101,0.7434523809523809,0.8198412698412697,-0.07638888888888884,0.07638888888888884
39,0.1174652679537264,0.1931808030831943,-0.0757155351294679,0.0757155351294679
51,0.6348847575559903,0.5611939974132265,0.07369076014276377,0.07369076014276377
75,0.019875751780053,0.0932788809627045,-0.07340312918265149,0.07340312918265149
84,0.3807007671851105,0.3074410569656188,0.07325971021949168,0.07325971021949168
55,0.3237553150254684,0.2506124988042048,0.07314281622126362,0.07314281622126362
174,0.0800457518853298,0.1531469882382661,-0.07310123635293632,0.07310123635293632
208,0.6750000000000002,0.6021825396825397,0.0728174603174605,0.0728174603174605
37,0.0927224921330679,0.1640026813549442,-0.0712801892218763,0.0712801892218763
202,0.2107143159278991,0.2815816173349615,-0.0708673014070624,0.0708673014070624
220,0.2333676167424521,0.1646682896265081,0.06869932711594401,0.06869932711594401
8,0.1210958104005082,0.1886909989568249,-0.0675951885563167,0.0675951885563167
186,0.1705525678920644,0.2370074557682862,-0.06645488787622178,0.06645488787622178
187,0.1869486214319017,0.1212987933324763,0.06564982809942539,0.06564982809942539
46,0.3564645246079526,0.2932918287435715,0.06317269586438107,0.06317269586438107
83,0.1348466167489419,0.0717758055960532,0.0630708111528887,0.0630708111528887
96,0.3487161161580868,0.2859139919177494,0.06280212424033738,0.06280212424033738
107,0.3177402391143003,0.255573252374042,0.062166986740258334,0.062166986740258334
130,0.5117533018296376,0.4501700680272109,0.06158323380242675,0.06158323380242675
45,0.1478614169452906,0.2093001598534309,-0.061438742908140304,0.061438742908140304
66,0.0978514659720831,0.159023569023569,-0.06117210305148592,0.06117210305148592
72,0.1351663556788409,0.0742534314353318,0.060912924243509095,0.060912924243509095
134,0.2717391304347826,0.2121212121212121,0.059617918313570495,0.059617918313570495
1,0.2254486281642914,0.2844896620123949,-0.0590410338481035,0.0590410338481035
73,0.3554320249447101,0.2964272442908568,0.059004780653853284,0.059004780653853284
47,0.3851488653575554,0.3277962669414315,0.05735259841612389,0.05735259841612389
